#{"t_start": 1749825858.1344798, "env_id": "None"}
r,l,t
-13.98397,4,63.188599
134.100274,4,63.25044
90.505709,4,63.312988
106.217273,4,63.383793
148.891017,4,63.453913
21.14843,4,63.521201
4.404091,4,63.579807
47.056043,4,63.644366
75.565287,4,63.705176
31.512868,4,63.767915
17.697659,4,63.828851
-8.479426,4,63.889333
33.655959,3,63.938375
90.425206,4,64.002376
106.108285,4,64.056926
105.066292,4,64.119142
65.452702,4,64.187196
3.086636,4,64.246356
122.74632,4,64.28872
-2.339404,4,64.357946
49.521721,4,64.42202
115.297986,4,64.484931
127.305403,4,64.543356
89.271399,4,64.607053
8.246423,4,64.672224
116.050066,4,64.73391
-43.816472,4,64.792309
37.757926,3,64.838556
-21.04198,4,64.889015
31.668933,3,64.938442
-32.152704,4,65.005402
50.854916,3,65.055269
38.148714,3,65.094106
25.728565,4,65.155105
108.917541,4,65.219054
-32.27967,4,65.282911
59.30475,3,65.327585
36.491615,4,65.388617
136.852526,4,65.452938
-38.321135,4,65.513011
78.152476,3,65.560717
56.284291,4,65.628908
90.94637,4,65.693643
59.817295,3,65.740308
103.428335,4,65.789134
143.070857,4,65.903641
-32.33535,4,65.971642
65.84777,3,66.004775
165.867215,4,66.072255
112.543652,4,66.121974
144.731179,4,66.197259
55.676644,4,66.256223
-60.231108,4,66.321818
111.876741,4,66.37895
102.756729,4,66.434595
77.672791,3,66.471963
56.201364,4,66.539064
26.635173,4,66.60941
63.195238,4,66.669335
24.256145,4,66.72625
84.359677,4,66.788802
-0.251962,4,66.857275
185.58452,4,66.920241
115.02348,4,66.971893
92.023297,4,67.022365
150.312423,4,67.099828
106.43475,4,67.161045
41.905235,3,67.205225
-9.548882,4,67.272237
-49.85945,4,67.331657
127.563178,4,67.391557
34.466737,4,67.452435
140.901626,4,67.506053
-33.065472,4,67.58175
-65.820643,4,67.648362
75.345711,4,67.724175
11.391675,3,67.772384
21.03225,4,67.844727
71.667088,3,67.889461
-26.526047,4,67.948536
104.138565,4,68.005998
